advertiser_id,advertiser_name,vertical,hq_region
1000,PixelForge,gaming,LATAM
1001,VantaStyle,ecommerce,North America
1002,EarnPath,fintech,APAC
1003,CloudRoute,travel,Europe
1004,SnapMeal,food_delivery,Europe
1005,MoonScreen,entertainment,Europe
1006,NeonArena,gaming,LATAM
1007,ThreadMark,ecommerce,Europe
1008,CoinBridge,fintech,North America
1009,DriftPass,travel,Europe
1010,BiteRush,food_delivery,Europe
1011,FluxStream,entertainment,APAC
1012,VoxelRealm,gaming,APAC
1013,BoltCart,ecommerce,Europe
1014,VaultRun,fintech,North America
1015,HorizonHop,travel,Europe
1016,FreshDash,food_delivery,APAC
1017,PulsePlay,entertainment,Europe
1018,StormByte,gaming,Europe
1019,ZenDrop,ecommerce,North America
1020,NovaPay,fintech,Europe
1021,RouteBloom,travel,APAC
1022,CraveLoop,food_delivery,Europe
1023,NeonCast,entertainment,North America
1024,GlitchWave,gaming,Europe
1025,LuxShelf,ecommerce,North America
1026,ClearLedger,fintech,LATAM
1027,WayPoint,travel,APAC
1028,QuickFork,food_delivery,North America
1029,BingeLayer,entertainment,Europe
1030,IronQuest,gaming,LATAM
1031,CrispBox,ecommerce,North America
1032,SwiftStack,fintech,Europe
1033,NomadLayer,travel,North America
1034,PlateSprint,food_delivery,LATAM
1035,StarVault,entertainment,Europe
